时间,sx,,重新排序列,dx
2017\8\8 7:24,97,,1663,48
2017\8\8 7:26,95,,1664,47
2017\8\8 7:28,56,,1665,28
2017\8\8 7:30,81,,1666,40
2017\8\8 7:32,60,,1667,30
2017\8\8 7:34,125,,1668,62
2017\8\8 7:36,83,,1669,41
2017\8\8 7:38,134,,1670,67
2017\8\8 7:40,78,,1671,39
2017\8\8 7:42,156,,1672,78
2017\8\8 7:44,98,,1673,49
2017\8\8 7:46,191,,1674,95
2017\8\8 7:48,131,,1675,65
2017\8\8 7:50,187,,1676,93
2017\8\8 7:52,194,,1677,97
2017\8\8 7:54,196,,1678,98
2017\8\8 7:56,125,,1679,62
2017\8\8 7:58,235,,1680,117
2017\8\8 8:00,225,,1681,112
2017\8\8 8:02,231,,1682,115
2017\8\8 8:04,238,,1683,119
2017\8\8 8:06,186,,1684,93
2017\8\8 8:08,283,,1685,141
2017\8\8 8:10,271,,1686,135
2017\8\8 8:12,297,,1687,148
2017\8\8 8:14,331,,1688,165
2017\8\8 8:16,396,,1689,198
2017\8\8 8:18,397,,1690,198
2017\8\8 8:20,365,,1691,182
2017\8\8 8:22,386,,1692,193
2017\8\8 8:24,386,,1693,193
2017\8\8 8:26,348,,1694,174
2017\8\8 8:28,473,,1695,236
2017\8\8 8:30,385,,1696,192
2017\8\8 8:32,423,,1697,211
2017\8\8 8:34,424,,1698,212
2017\8\8 8:36,522,,1699,261
2017\8\8 8:38,389,,1700,194
2017\8\8 8:40,476,,1701,238
2017\8\8 8:42,398,,1702,199
2017\8\8 8:44,562,,1703,281
2017\8\8 8:46,440,,1704,220
2017\8\8 8:48,464,,1705,232
2017\8\8 8:50,493,,1706,246
2017\8\8 8:52,334,,1707,167
2017\8\8 8:54,422,,1708,211
2017\8\8 8:56,336,,1709,168
2017\8\8 8:58,262,,1710,131
2017\8\8 9:00,371,,1711,185
2017\8\8 9:02,347,,1712,173
2017\8\8 9:04,299,,1713,149
2017\8\8 9:06,302,,1714,151
2017\8\8 9:08,256,,1715,128
2017\8\8 9:10,379,,1716,189
2017\8\8 9:12,266,,1717,133
2017\8\8 9:14,305,,1718,152
2017\8\8 9:16,329,,1719,164
2017\8\8 9:18,251,,1720,125
2017\8\8 9:20,230,,1721,115
2017\8\8 9:22,245,,1722,122
2017\8\8 9:24,209,,1723,104
2017\8\8 9:26,213,,1724,106
2017\8\8 9:28,227,,1725,113
2017\8\8 9:30,229,,1726,114
2017\8\8 9:32,157,,1727,78
2017\8\8 9:34,218,,1728,109
2017\8\8 9:36,181,,1729,90
2017\8\8 9:38,214,,1730,107
2017\8\8 9:40,218,,1731,109
2017\8\8 9:42,187,,1732,93
2017\8\8 9:44,272,,1733,136
2017\8\8 9:46,136,,1734,68
2017\8\8 9:48,218,,1735,109
2017\8\8 9:50,228,,1736,114
2017\8\8 9:52,145,,1737,72
2017\8\8 9:54,223,,1738,111
2017\8\8 9:56,237,,1739,118
2017\8\8 9:58,149,,1740,74
2017\8\8 10:00,190,,1741,95
2017\8\8 10:02,134,,1742,67
2017\8\8 10:04,160,,1743,80
2017\8\8 10:06,118,,1744,59
2017\8\8 10:08,134,,1745,67
2017\8\8 10:10,102,,1746,51
2017\8\8 10:12,127,,1747,63
2017\8\8 10:14,193,,1748,96
2017\8\8 10:16,85,,1749,42
2017\8\8 10:18,129,,1750,64
2017\8\8 10:20,113,,1751,56
2017\8\8 10:22,75,,1752,37
2017\8\8 10:24,99,,1753,49
2017\8\8 10:26,144,,1754,72
2017\8\8 10:28,77,,1755,38
2017\8\8 10:30,112,,1756,56
2017\8\8 10:32,147,,1757,73
2017\8\8 10:34,105,,1758,52
2017\8\8 10:36,116,,1759,58
2017\8\8 10:38,96,,1760,48
2017\8\8 10:40,53,,1761,26
2017\8\8 10:42,111,,1762,55
2017\8\8 10:44,122,,1763,61
2017\8\8 10:46,73,,1764,36
2017\8\8 10:48,100,,1765,50
2017\8\8 10:50,99,,1766,49
2017\8\8 10:52,77,,1767,38
2017\8\8 10:54,102,,1768,51
2017\8\8 10:56,117,,1769,58
